"Supplementary Table SX9  Summary of isolates tested in this study, including the ability to grow on homarine; the NCBI-derived taxonomy and associated accession numbers; as well as the locations of the genes identified as hom, sox, or mgd genes.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Isolate,NCBI Genome Accession,Homarine Growth Status,Kingdom,Phylum,Class,Order,Family,Genus,Species,homE,homA,homB,homC,homD,homR,mgdD,mgdC,mgdB,mgdA,soxG,soxA,soxD,soxB,Lat,Lon,Depth Feature,Depth (m)
RWi2,JBHNYK000000000,grower,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Leisingera,,ACFI6U_20790,ACFI6U_15000,ACFI6U_15005,ACFI6U_15010,ACFI6U_15015,ACFI6U_15020,ACFI6U_18090,ACFI6U_18085,ACFI6U_18080,ACFI6U_18075,ACFI6U_11945,ACFI6U_11950,ACFI6U_11955,ACFI6U_11960,,,,
G4i57,JBHNZH000000000,grower,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Phaeobacter,,ACFI4X_05575,ACFI4X_16580,ACFI4X_16575,ACFI4X_16565,ACFI4X_16560,ACFI4X_16555,ACFI4X_16545,ACFI4X_16540,ACFI4X_16535,ACFI4X_16530,ACFI4X_08560,ACFI4X_08565,ACFI4X_08570,ACFI4X_08575,3.527,-144.449,surface,15
G4i09,JBHNYV000000000,grower,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,,,ACFI4U_16660,ACFI4U_16665,ACFI4U_16675,ACFI4U_16680,ACFI4U_16685,ACFI4U_05680,ACFI4U_05685,ACFI4U_05690,ACFI4U_05695,ACFI4U_07735,ACFI4U_07730,ACFI4U_07725,ACFI4U_07720,0.099,-141.9116,surface,15
G4i52,JBHNZG000000000,grower,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Roseovarius,,,ACFI4Y_14365,ACFI4Y_03075,ACFI4Y_14375,ACFI4Y_14380,ACFI4Y_14385,ACFI4Y_02555,ACFI4Y_02550,ACFI4Y_02545,ACFI4Y_02540,ACFI4Y_02865,ACFI4Y_02870,ACFI4Y_02875,ACFI4Y_02880,0.099,-141.9116,DCM,45
DSS3,AAV96421.1,grower,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Ruegeria,Ruegeria pomeroyi,,SPO3188,SPO3189,SPO3190,SPO3191,SPO3192,SPO1585,SPO1586,SPO1587,SPO1588,SPO2344,SPO2345,SPO2346,SPO2348,,,,
OBi1,CP170486,grower,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Cobetia,Cobetia,ACFLL8_11490,ACFLL8_11495,ACFLL8_11500,ACFLL8_11510,ACFLL8_11515,ACFLL8_11520,ACFLL8_07290,ACFLL8_07295,ACFLL8_07300,ACFLL8_07305,ACFLL8_02235,ACFLL8_02230,ACFLL8_02225,ACFLL8_02220,47.31,-122.53,surface,1
G4i12,JBHNYW000000000,grower,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida group,ACFJAB_00930,ACFJAB_00925,ACFJAB_00920,ACFJAB_00910,ACFJAB_00905,ACFJAB_00900,ACFJAB_15825,ACFJAB_15830,ACFJAB_04235,ACFJAB_04240,ACFJAB_07465,ACFJAB_07470,ACFJAB_07475,ACFJAB_07480,0.099,-141.9116,DCM,45
PSi23,JBHNYS000000000,grower,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Enterovibrio,Enterovibrio calviensis,ACFI7D_11930,ACFI7D_11905,ACFI7D_11910,ACFI7D_11920,ACFI7D_11925,ACFI7D_11935,ACFI7D_18340,ACFI7D_18335,ACFI7D_18330,ACFI7D_18325,,ACFI7D_07245,ACFI7D_07240,ACFI7D_07245,47.31,-122.53,surface,1
PSi01,JBHNYN000000000,grower,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,ACFI6G_14485,ACFI6G_14510,ACFI6G_14505,ACFI6G_14495,ACFI6G_14490,ACFI6G_14480,,,,,,,,,47.31,-122.53,surface,1
PSi01,JBHNYN000000000,grower,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,ACFI6G_14485,ACFI6G_14510,ACFI6G_14505,ACFI6G_14495,ACFI6G_14490,ACFI6G_14480,,,,,,,,,47.31,-122.53,surface,1
